# These species names, database (RAM/FAO), and species categories
# were taken from the file
# `Compiled_Assessed_and_Unassessed_Data_5_with_Props.csv`
# by Sean on 2015-06-22
# the 3 categories correspond to the categories in the simulation dataset
spname,database,LH2
Etrumeus teres,FAO,SP
Etrumeus whiteheadi,FAO,NA
Euthynnus affinis,FAO,LP
Euthynnus alletteratus,FAO,D
Euthynnus lineatus,FAO,NA
Eutrigla gurnardus,FAO,D
Gadus macrocephalus,Ram,D
Gadus macrocephalus,FAO,D
Gadus morhua,Ram,D
Gadus ogac,FAO,D
Galeoides decadactylus,FAO,D
Galeorhinus galeus,FAO,D
Galeus melastomus,FAO,D
Genyonemus lineatus,FAO,D
Genypterus blacodes,FAO,D
Genypterus blacodes,Ram,D
Genypterus capensis,Ram,D
Genypterus capensis,FAO,D
Genypterus chilensis,FAO,D
Genypterus maculatus,FAO,D
Gerres nigri,FAO,NA
Gerres oyena,FAO,D
Ginglymostoma cirratum,FAO,D
Girella tricuspidata,FAO,D
Glossanodon semifasciatus,FAO,D
Glyptocephalus cynoglossus,FAO,D
Glyptocephalus cynoglossus,Ram,D
Glyptocephalus zachirus,Ram,D
Glyptocephalus zachirus,FAO,D
Gnathanodon speciosus,FAO,D
Gymnosarda unicolor,FAO,D
Harpadon nehereus,FAO,D
Helicolenus dactylopterus,FAO,D
Hemiramphus brasiliensis,FAO,D
Herklotsichthys quadrimaculatus,FAO,D
Hilsa kelee,FAO,SP
Hippoglossoides elassodon,Ram,D
Hippoglossoides platessoides,Ram,D
Hippoglossoides platessoides,FAO,D
Hippoglossus hippoglossus,FAO,D
Hippoglossus hippoglossus,Ram,D
Hippoglossus stenolepis,Ram,D
Hoplostethus atlanticus,FAO,NA
Hydrolagus novaezealandiae,FAO,D
Hyperoglyphe antarctica,FAO,D
Hypoptychus dybowskii,FAO,NA
Hyporhamphus sajori,FAO,NA
Ilisha africana,FAO,SP
Ilisha elongata,FAO,NA
Isacia conceptionis,FAO,D
Istiophorus albicans,FAO,LP
Istiophorus platypterus,FAO,LP
Isurus oxyrinchus,FAO,LP
Joturus pichardi,FAO,NA
Kathetostoma giganteum,FAO,D
Katsuwonus pelamis,FAO,LP
Katsuwonus pelamis,Ram,LP
Konosirus punctatus,FAO,SP
Lactarius lactarius,FAO,SP
Laemonema longipes,FAO,D
Lamna nasus,FAO,LP
Lampris guttatus,FAO,NA
Larimichthys croceus,FAO,D
Larimichthys polyactis,FAO,D
Larimus breviceps,FAO,D
Lateolabrax japonicus,FAO,D
Leiostomus xanthurus,FAO,D
Lepidopsetta bilineata,FAO,D
Lepidopsetta polyxystra,Ram,D
Lepidopus caudatus,FAO,LP
